method,eccentricity,error_baseline,error_fine
Euler,0.1,0.6669730699330241,0.5816828919725356
Euler,0.2,0.6991523558153563,0.6142861001457748
Euler,0.3,0.7579123306305666,0.663899201704968
Euler,0.4,0.8293668093374356,0.7408080861983135
Euler,0.5,0.8911285063019384,0.8303244080141754
Euler,0.6,0.9895587495625349,0.9335149904964353
Euler,0.7,1.0663439781875854,1.0096129046039313
RK4,0.1,2.2688917411528564e-10,7.050138250974669e-12
RK4,0.2,5.021483229228352e-10,1.572053598408729e-11
RK4,0.3,1.5078145398916831e-09,4.718647694801348e-11
RK4,0.4,5.774990263773816e-09,1.8051604655511255e-10
RK4,0.5,2.89190271729467e-08,9.036993375843849e-10
RK4,0.6,2.074888683090137e-07,6.485422865409873e-09
RK4,0.7,2.589628980587122e-06,8.09689817415915e-08
Verlet,0.1,2.0876951156156842e-06,5.218929320371934e-07
Verlet,0.2,5.092360555070119e-06,1.2730506903646521e-06
Verlet,0.3,1.0618649098625976e-05,2.654583215244699e-06
Verlet,0.4,2.262786318135701e-05,5.656711441037743e-06
Verlet,0.5,5.308473604126451e-05,1.3270135117093851e-05
Verlet,0.6,0.00014474983764645177,3.618177883712992e-05
Verlet,0.7,0.0005056121035058592,0.00012635508044755994
